=== WAVE 2 BEFORE Sat Aug  1 02:29:44 EDT 2026 ===
  total 12,197,019 | real-phone 2,015,334
=== drive cc-warc-full Sat Aug  1 02:29:45 EDT 2026 ===
Lambda concurrency limit 1000 -> driving at 250 concurrent (raise the quota to go faster)
  7,600 ptrs | 1,748 records | 1686 ptr/s | 0 inv-err
  9,600 ptrs | 3,104 records | 1969 ptr/s | 0 inv-err
  25,400 ptrs | 11,429 records | 3592 ptr/s | 0 inv-err
  28,600 ptrs | 12,286 records | 4000 ptr/s | 0 inv-err
  41,400 ptrs | 13,043 records | 5561 ptr/s | 0 inv-err
  42,400 ptrs | 13,046 records | 5677 ptr/s | 0 inv-err
  45,200 ptrs | 13,646 records | 5962 ptr/s | 0 inv-err
  80,600 ptrs | 37,402 records | 7262 ptr/s | 0 inv-err
  88,600 ptrs | 43,171 records | 7482 ptr/s | 0 inv-err
  92,000 ptrs | 45,278 records | 7689 ptr/s | 0 inv-err
  93,800 ptrs | 46,678 records | 7736 ptr/s | 0 inv-err
  120,400 ptrs | 62,808 records | 8313 ptr/s | 0 inv-err
  121,800 ptrs | 63,616 records | 8337 ptr/s | 0 inv-err
  131,200 ptrs | 66,855 records | 8588 ptr/s | 0 inv-err
  141,200 ptrs | 72,294 records | 8650 ptr/s | 0 inv-err
  153,400 ptrs | 75,970 records | 8868 ptr/s | 0 inv-err
  162,800 ptrs | 82,175 records | 8790 ptr/s | 0 inv-err
  164,600 ptrs | 83,599 records | 8814 ptr/s | 0 inv-err
  167,800 ptrs | 85,798 records | 8868 ptr/s | 0 inv-err
  178,600 ptrs | 92,596 records | 9077 ptr/s | 0 inv-err
  180,800 ptrs | 94,376 records | 9150 ptr/s | 0 inv-err
  188,800 ptrs | 100,153 records | 9167 ptr/s | 0 inv-err
  206,800 ptrs | 110,176 records | 9212 ptr/s | 0 inv-err
  218,800 ptrs | 115,637 records | 9294 ptr/s | 0 inv-err
  240,200 ptrs | 126,007 records | 9420 ptr/s | 0 inv-err
  242,200 ptrs | 127,057 records | 9436 ptr/s | 0 inv-err
  259,000 ptrs | 136,956 records | 9729 ptr/s | 0 inv-err
  260,400 ptrs | 137,678 records | 9762 ptr/s | 0 inv-err
  264,000 ptrs | 139,564 records | 9809 ptr/s | 0 inv-err
  266,600 ptrs | 141,383 records | 9791 ptr/s | 0 inv-err
  303,800 ptrs | 169,162 records | 9717 ptr/s | 0 inv-err
  314,200 ptrs | 175,532 records | 9755 ptr/s | 0 inv-err
  320,600 ptrs | 179,664 records | 9870 ptr/s | 0 inv-err
  342,000 ptrs | 191,870 records | 10077 ptr/s | 0 inv-err
  349,000 ptrs | 196,559 records | 10107 ptr/s | 0 inv-err
  361,000 ptrs | 205,327 records | 10230 ptr/s | 0 inv-err
  361,400 ptrs | 205,592 records | 10232 ptr/s | 0 inv-err
  368,400 ptrs | 211,234 records | 10198 ptr/s | 0 inv-err
  374,600 ptrs | 215,683 records | 10154 ptr/s | 0 inv-err
  405,800 ptrs | 232,526 records | 10327 ptr/s | 0 inv-err
  408,400 ptrs | 234,216 records | 10356 ptr/s | 0 inv-err
  420,800 ptrs | 242,163 records | 10462 ptr/s | 0 inv-err
  425,200 ptrs | 245,675 records | 10457 ptr/s | 0 inv-err
  457,400 ptrs | 261,264 records | 10539 ptr/s | 0 inv-err
  459,400 ptrs | 262,526 records | 10568 ptr/s | 0 inv-err
  461,400 ptrs | 263,924 records | 10585 ptr/s | 0 inv-err
  461,600 ptrs | 264,100 records | 10589 ptr/s | 0 inv-err
  471,400 ptrs | 271,094 records | 10620 ptr/s | 0 inv-err
  489,400 ptrs | 283,826 records | 10588 ptr/s | 0 inv-err
  498,800 ptrs | 292,078 records | 10682 ptr/s | 0 inv-err
  537,400 ptrs | 319,888 records | 10756 ptr/s | 0 inv-err
  544,200 ptrs | 325,878 records | 10826 ptr/s | 0 inv-err
  546,200 ptrs | 327,423 records | 10821 ptr/s | 0 inv-err
  549,000 ptrs | 329,390 records | 10820 ptr/s | 0 inv-err
  549,800 ptrs | 329,897 records | 10806 ptr/s | 0 inv-err
  565,400 ptrs | 340,534 records | 10900 ptr/s | 0 inv-err
  570,000 ptrs | 341,864 records | 10911 ptr/s | 0 inv-err
  584,000 ptrs | 348,412 records | 10907 ptr/s | 0 inv-err
  587,800 ptrs | 351,072 records | 10908 ptr/s | 0 inv-err
  593,400 ptrs | 355,029 records | 10926 ptr/s | 0 inv-err
  616,000 ptrs | 366,700 records | 11033 ptr/s | 0 inv-err
  629,400 ptrs | 372,021 records | 11066 ptr/s | 0 inv-err
  631,200 ptrs | 372,660 records | 11066 ptr/s | 0 inv-err
  635,200 ptrs | 375,581 records | 11061 ptr/s | 0 inv-err
  663,000 ptrs | 394,660 records | 11007 ptr/s | 0 inv-err
  672,800 ptrs | 402,620 records | 10972 ptr/s | 0 inv-err
  678,000 ptrs | 405,348 records | 10947 ptr/s | 0 inv-err
  685,400 ptrs | 409,599 records | 10912 ptr/s | 0 inv-err
  687,800 ptrs | 411,244 records | 10875 ptr/s | 0 inv-err
  698,200 ptrs | 418,397 records | 10838 ptr/s | 0 inv-err
  709,600 ptrs | 425,573 records | 10813 ptr/s | 0 inv-err
  738,800 ptrs | 445,247 records | 10688 ptr/s | 0 inv-err
  739,400 ptrs | 445,538 records | 10666 ptr/s | 0 inv-err
  741,200 ptrs | 446,514 records | 10623 ptr/s | 0 inv-err
  741,600 ptrs | 446,812 records | 10621 ptr/s | 0 inv-err
  741,800 ptrs | 446,933 records | 10622 ptr/s | 0 inv-err
